Name,Gender,LastLetter,LastTwoLetter,FirstLetter
Ashutosh,1,h,sh,A
Meghamala,2,a,la,M
Sahib,1,b,ib,S
Pragya,2,a,ya,P
Kranti,2,i,ti,K
Tulika,2,a,ka,T
Aarushi,2,i,hi,A
Abhicandra,1,a,ra,A
Pratigya,2,a,ya,P
Devak,1,k,ak,D
Kashiprasad,1,d,ad,K
Madhavi,2,i,vi,M
Charusila,2,a,la,C
Chithayu,1,u,yu,C
Manmayi,2,i,yi,M
Mahajabeen,2,n,en,M
Krishnakumar,1,r,ar,K
Kailas,1,s,as,K
Nidhyathi,2,i,hi,N
Nainika,2,a,ka,N
Madirakshi,2,i,hi,M
Adil,1,l,il,A
Devadyumna,1,a,na,D
Harijatha,2,a,ha,H
Rupal,2,l,al,R
Eka,2,a,ka,E
Ilampirai,2,i,ai,I
Soham,1,m,am,S
Acalapati,1,i,ti,A
Naveen,1,n,en,N
Jalendu,1,u,du,J
Shrivalli,2,i,li,S
Wajeeh,1,h,eh,W
Kumar,1,r,ar,K
Sudhan,1,n,an,S
Ilanthirayan,1,n,an,I
Agneya,1,a,ya,A
Oma,2,a,ma,O
Kali,2,i,li,K
Ajaatshatru,1,u,ru,A
Rishabh,1,h,bh,R
Hariraj,1,j,aj,H
Abhay,1,y,ay,A
Gudiya,2,a,ya,G
Neelabja,2,a,ja,N
Punit,1,t,it,P
Soumil,1,l,il,S
Sarbani,2,i,ni,S
Sharvani,2,i,ni,S
Tripuri,2,i,ri,T
Punita,1,a,ta,P
Shandar,1,r,ar,S
Naisha,2,a,ha,N
Danvir,1,r,ir,D
Suday,1,y,ay,S
Sonika,2,a,ka,S
Mrudu,2,u,du,M
Ramavatar,1,r,ar,R
Puji,2,i,ji,P
Radhakrishna,1,a,na,R
Jaspal,1,l,al,J
Dhruv,1,v,uv,D
Ketan,1,n,an,K
Prama,2,a,ma,P
Mannan,1,n,an,M
Kunjabihari,1,i,ri,K
Chitrarath,1,h,th,C
Ranjini,2,i,ni,R
Tarika,2,a,ka,T
Thirumal,1,l,al,T
Muralidhar,1,r,ar,M
Muhilan,1,n,an,M
Adrika,2,a,ka,A
Arghya,1,a,ya,A
Tarak,1,k,ak,T
Suhrit,1,t,it,S
Sunetra,2,a,ra,S
Jehangir,1,r,ir,J
Anshu,1,u,hu,A
Chakrika,2,a,ka,C
Harmya,2,a,ya,H
Sarjana,2,a,na,S
Khushboo,2,o,oo,K
Ambalika,2,a,ka,A
Rashmika,2,a,ka,R
Ayeh,2,h,eh,A
Dasharath,1,h,th,D
Jagachandra,1,a,ra,J
Irshaad,1,d,ad,I
Ritu,2,u,tu,R
Subramani,1,i,ni,S
Charvi,2,i,vi,C
Purushottam,1,m,am,P
Nithilam,2,m,am,N
Vedavrata,1,a,ta,V
Jagadayu,1,u,yu,J
Durga,2,a,ga,D
Ekalavya,1,a,ya,E
Dyumna,2,a,na,D
Sampriti,2,i,ti,S
Chitrarekha,2,a,ha,C
Pari,2,i,ri,P
Rajashri,2,i,ri,R
Kushik,1,k,ik,K
Chumban,2,n,an,C
Ankush,1,h,sh,A
Sunayani,2,i,ni,S
Deshna,2,a,na,D
Tanuja,2,a,ja,T
Nauka,2,a,ka,N
Tarunika,2,a,ka,T
Kalash,1,h,sh,K
Krishi,2,i,hi,K
Shrikirti,2,i,ti,S
Kartikeya,1,a,ya,K
Bulbul,2,l,ul,B
Lingappan,1,n,an,L
Adhik,1,k,ik,A
Saranya,2,a,ya,S
Rambha,2,a,ha,R
Anumati,2,i,ti,A
Sanjiv,1,v,iv,S
Umrao,2,o,ao,U
Baidehi,2,i,hi,B
Aadarsh,1,h,sh,A
Ganjan,1,n,an,G
Devadarshan,1,n,an,D
Kalyani,2,i,ni,K
Malaya,1,a,ya,M
Ganesh,1,h,sh,G
Farha,2,a,ha,F
Adesh,1,h,sh,A
Pritika,2,a,ka,P
Alagan,1,n,an,A
Shridevi,2,i,vi,S
Deepinder,1,r,er,D
Gunitha,2,a,ha,G
Chanchari,2,i,ri,C
Shabab,2,b,ab,S
Adya,2,a,ya,A
Prapti,2,i,ti,P
Nagasri,2,i,ri,N
Gandharaj,1,j,aj,G
Kilimoli,2,i,li,K
Yatisa,1,a,sa,Y
Sujata,2,a,ta,S
Prasana,2,a,na,P
Kovida,1,a,da,K
Chandani,2,i,ni,C
Sabhya,1,a,ya,S
Archita,2,a,ta,A
Sarwar,1,r,ar,S
Madhukar,1,r,ar,M
Ramswaroop,1,p,op,R
Uday,1,y,ay,U
"Farukh, Farokh",1,h,kh,F
Angana,2,a,na,A
Kamitha,2,a,ha,K
Brijabala,2,a,la,B
Lalita,2,a,ta,L
Vanca,2,a,ca,V
Gambheer,1,r,er,G
Anhithi,2,i,hi,A
Mehul,2,l,ul,M
Vijeta,2,a,ta,V
Prashansa,2,a,sa,P
Vanajaksi,2,i,si,V
Chandrakin,2,n,in,C
Kshiti,2,i,ti,K
Sanemi,2,i,mi,S
Swadhinta,2,a,ta,S
Mrigankamouli,1,i,li,M
Sneha,2,a,ha,S
Kimaya,2,a,ya,K
Teertha,2,a,ha,T
Amar,1,r,ar,A
Kala,2,a,la,K
Priya,1,a,ya,P
Abja,2,a,ja,A
Niharika,2,a,ka,N
Seemanti,2,i,ti,S
Kalyan,1,n,an,K
Nikhat,1,t,at,N
Rajanikanta,1,a,ta,R
Namacharya,1,a,ya,N
Giridari,1,i,ri,G
Jag,1,g,ag,J
Bibek,1,k,ek,B
Chatura,2,a,ra,C
Trailokva,1,a,va,T
Naresh,1,h,sh,N
Acchindra,1,a,ra,A
Fajyaz,2,z,az,F
Labuki,2,i,ki,L
Nalika,2,a,ka,N
Ahijit,1,t,it,A
Parvani,2,i,ni,P
Ramratan,1,n,an,R
Navrang,1,g,ng,N
Krishnakanta,1,a,ta,K
Kriya,2,a,ya,K
Javed,1,d,ed,J
Dehabhuj,1,j,uj,D
Ekanjeet,1,t,et,E
Kanwaljeet,1,t,et,K
Mitravinda,2,a,da,M
Shaistakhan,1,n,an,S
Sarani,2,i,ni,S
Iravan,1,n,an,I
Sudhir,1,r,ir,S
Utanka,1,a,ka,U
Nipuna,2,a,na,N
Dhitha,2,a,ha,D
Madhu,1,u,hu,M
Nina,2,a,na,N
Rabhya,2,a,ya,R
Jalbhushan,1,n,an,J
Madangopal,1,l,al,M
Avinash,1,h,sh,A
Nirupam,1,m,am,N
Vishwanath,1,h,th,V
Amitrasudan,1,n,an,A
Jnanaprakash,1,h,sh,J
Sunasi,1,i,si,S
Avnita,2,a,ta,A
Shubhranshu,1,u,hu,S
Laksh,1,h,sh,L
Lalitkishore,1,e,re,L
Chayana,2,a,na,C
Nirvani,2,i,ni,N
Kshanika,2,a,ka,K
Sanvali,2,i,li,S
Tanay,1,y,ay,T
Nibodh,1,h,dh,N
Kokila,2,a,la,K
Chitramaya,2,a,ya,C
Elil,1,l,il,E
Suneet,1,t,et,S
Srijan,1,n,an,S
Chirag,1,g,ag,C
Chitrita,2,a,ta,C
Vineet,1,t,et,V
Harish,1,h,sh,H
Githika,2,a,ka,G
Aditi,2,i,ti,A
Kanal,1,l,al,K
Ishat,1,t,at,I
Ecchumati,2,i,ti,E
Panna,2,a,na,P
Brahmacharini,2,i,ni,B
Iham,1,m,am,I
Mehmood,1,d,od,M
Seemantini,2,i,ni,S
Shoorsen,1,n,en,S
Tirthankara,1,a,ra,T
Bhupathi,1,i,hi,B
Inbanathan,1,n,an,I
Elili,2,i,li,E
Haroon,1,n,on,H
Kalavathi,2,i,hi,K
Abdul-Hameed,1,d,ed,A
Charita,2,a,ta,C
Kotijit,1,t,it,K
Susmita,2,a,ta,S
Brinda,2,a,da,B
Daaruk,1,k,uk,D
